,identifiant,Prénom,Nom,Région,Département,Numéro de circonscription,Profession,Groupe politique (complet),Groupe politique (abrégé)
200,721262,Guillaume,Vuilletet,Ile-de-France,Val-d'Oise,2,Cadre supérieur (secteur privé),Renaissance,RE
201,793912,Sylvain,Carrière,Occitanie,Hérault,8,Employé de commerce,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
202,796132,Raquel,Garrido,Ile-de-France,Seine-Saint-Denis,5,Avocate,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
203,794214,Quentin,Bataillon,Auvergne-Rhône-Alpes,Loire,1,Cadre administratif et commercial d'entreprise,Renaissance,RE
204,795026,Anne-Cécile,Violland,Auvergne-Rhône-Alpes,Haute-Savoie,5,Profession libérale,Horizons et apparentés,HOR
205,793780,Christine,Arrighi,Occitanie,Haute-Garonne,9,Ancien cadre,Écologiste - NUPES,Ecolo - NUPES
206,793146,Nicolas,Dragon,Hauts-de-France,Aisne,1,Profession libérale,Rassemblement National,RN
207,795362,Lisa,Belluco,Nouvelle-Aquitaine,Vienne,1,Cadre de la fonction publique,Écologiste - NUPES,Ecolo - NUPES
208,794094,Mickaël,Bouloux,Bretagne,Ille-et-Vilaine,8,Ingénieur et cadre technique d'entreprise,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
209,719874,Élodie,Jacquier-Laforge,Auvergne-Rhône-Alpes,Isère,9,Cadre supérieur (secteur privé),Démocrate (MoDem et Indépendants),Dem
210,605745,Nicolas,Sansu,Centre-Val de Loire,Cher,2,Permanent politique,Gauche démocrate et républicaine - NUPES,GDR - NUPES
211,795156,Fatiha,Keloua Hachi,Ile-de-France,Seine-Saint-Denis,8,"Professeur, profession scientifique",Socialistes et apparentés (membre de lintergroupe NUPES),SOC
212,606639,Patrick,Vignal,Occitanie,Hérault,9,Industriel-Chef d'entreprise,Renaissance,RE
213,335054,Marietta,Karamanli,Pays de la Loire,Sarthe,2,Professeur dans l'enseignement supérieur,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
214,793852,Pierre,Meurin,Occitanie,Gard,4,Cadre administratif et commercial d'entreprise,Rassemblement National,RN
215,796070,Perceval,Gaillard,Réunion,Réunion,7,Profession intermédiaire de la santé et du travail social,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
216,795430,Stéphane,Delautrette,Nouvelle-Aquitaine,Haute-Vienne,2,Ingénieur dans le domaine de l'environnement,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
217,794982,Julie,Delpech,Pays de la Loire,Sarthe,1,Chargée de communication,Renaissance,RE
218,793094,Nicolas,Ray,Auvergne-Rhône-Alpes,Allier,3,Inspecteur principal des Finances publiques,Les Républicains,LR
219,721062,Jean-Hugues,Ratenon,Réunion,Réunion,5,Employé (secteur privé),La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
220,719388,Annaïg,Le Meur,Bretagne,Finistère,1,Autre profession libérale,Renaissance,RE
221,795868,Jean-Victor,Castor,Guyane,Guyane,1,Cadre technique d'entreprise,Gauche démocrate et républicaine - NUPES,GDR - NUPES
222,588884,Clémentine,Autain,Ile-de-France,Seine-Saint-Denis,11,Journaliste et autre média,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
223,793992,Henri,Alfandari,Centre-Val de Loire,Indre-et-Loire,3,"Ancien artisan, commerçant, chef d'entreprise",Horizons et apparentés,HOR
224,794786,Emmanuel,Fernandes,Grand Est,Bas-Rhin,2,Profession intermédiaire administrative et commerciale des entreprises,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
225,795100,Éric,Martineau,Pays de la Loire,Sarthe,3,Agriculteur sur moyenne exploitation,Démocrate (MoDem et Indépendants),Dem
226,794494,Roger,Vicot,Hauts-de-France,Nord,11,Intervenant en communication,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
227,720952,Aurélien,Taché,Ile-de-France,Val-d'Oise,10,Fonctionnaire de catégorie A,Écologiste - NUPES,Ecolo - NUPES
228,717379,Sylvain,Maillard,Ile-de-France,Paris,1,Industriel-Chef d'entreprise,Renaissance,RE
229,719472,Jean-René,Cazeneuve,Occitanie,Gers,1,Ingénieur,Renaissance,RE
230,796010,Frédéric,Maillot,Réunion,Réunion,6,Intervenant social,Gauche démocrate et républicaine - NUPES,GDR - NUPES
231,793724,Michel,Sala,Occitanie,Gard,5,Ancien cadre du secteur bancaire,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
232,774962,Karine,Lebon,Réunion,Réunion,2,Professeure des écoles,Gauche démocrate et républicaine - NUPES,GDR - NUPES
